임무(Quests),종류,목표,보상,선행 퀘스트
사업적인 관계 (Only Business),Merchant,래그맨과의 우호도 2레벨 달성하기,"+6,700 EXP, 래그맨 Rep +0.02, 10,000 루블, BlackHawk! Commando 체스트 하네스 1개",예
ULTRA를 다시 위대하게 (Make ULTRA Great Again),종합,인터체인지(Interchange)에서 스캐브 25명 사살하기,"+9,800 EXP, 래그맨 Rep +0.02, 예거 Rep +0.01, 25,000 루블, WARTECH TV-109 + TV-106 리그 3개",예
매장 구경 (Big Sale),탐험,"인터체인지(Interchange)의 5개 매장(AVOKADO, KOSTIN, tRend, DINO CLOTHES, TOP BRAND) 방문 후 생존 탈출","+8,200 EXP, 래그맨 Rep +0.03, 30,000 루블, Oakley Mechanism 배낭 1개",예
연료 문제 (A Fuel Matter),종합,리저브(Reserve)에서 연료 탱크 저장소 2곳에 MS2000 마커 설치 후 생존 탈출,"+8,200 EXP, 래그맨 Rep +0.03, 30,000 루블, 프로판 탱크 2개",예
재고 확인 (Inventory Check),종합,리저브(Reserve) 동/남쪽 병영의 특정 구역 5곳 확인 후 생존 탈출,"+10,000 EXP, 래그맨 Rep +0.03, 30,000 루블, ZSh-1-2M 헬멧 1개, Camelbak Tri-Zip 배낭 (잠금해제 - 레벨3)",예
전쟁의 피 - 파트 1 (The Blood of War - Part 1),종합,인터체인지(Interchange)에서 유조차 3대에 MS2000 마커 설치 후 생존 탈출,"+7,500 EXP, 래그맨 Rep +0.02, 60,000 루블, 금속 연료통 2개",예
폼생폼사 (Dressed to Kill),종합,"레이드에서 카우보이 모자 2개, 우샨카 방한모 2개 획득 및 건네주기","+8,400 EXP, 래그맨 Rep +0.03, 21,000 루블, BNTI ""Gzhel-K"" 방탄복 1개, 군용 전력 필터 1개",예
감사표시 (Gratitude),종합,"지정된 장소 4곳에 고스트 발라클라바, 쉬마그, 힙스터 선글라스, 원형 선글라스 숨겨두기","+14,400 EXP, 래그맨 Rep +0.03, 120,000 루블, 부니햇 4종 각 2개",예
퀵서비스 (Hot Delivery),종합,"지정된 장소 3곳에 Peltor ComTac 2 헤드셋, 6B47 헬멧, BNTI Gzhel-K 방탄복 숨겨두기","+20,300 EXP, 래그맨 Rep +0.04, 55,000 루블, IOTV Gen4 방탄복 (완전형 키트) 1개 및 교환 잠금해제 (레벨4)",예
스캐빈저 (Scavenger),스킬,확인 스킬 9 레벨 달성하기,"+17,700 EXP, 래그맨 Rep +0.03, 65,000 루블, Crash 도끼 (교환 잠금해제 - 레벨4)",예
ULTRA 24시 (Sales Night),종합,인터체인지(Interchange)에서 7번 생존하여 탈출하기,"+17,500 EXP, 래그맨 Rep +0.03, 35,000 루블, SSO ""Attack 2"" 급습 배낭 2개, HighCom Striker ULACH IIIA 헬멧 (교환 잠금해제 - 레벨4)",예
데이터베이스 - 파트 1 (Database - Part 1),탐험,"인터체인지(Interchange)에서 Goshan, OLI, IDEA 화물 목록 입수 및 건네주기","+8,400 EXP, 래그맨 Rep +0.03, 30,000 루블, MSA Sordin 헤드셋 외 여러 의류 및 소모품",예
Database - Part 2 (Database - Part 2),종합,인터체인지(Interchange)에서 OLI 화물 운송장 서류 입수 및 건네주기,"+8,500 EXP, 래그맨 Rep +0.03, 자동차 배터리 1개, 위상 제어 계전기 1개",예
미니버스 (Minibus),종합,인터체인지(Interchange)에서 미니버스 3대에 MS2000 마커 설치 후 생존 탈출,"+13,800 EXP, 래그맨 Rep +0.03, 50,000 루블, ANA Tactical Beta 2 배낭 1개",예
솜씨 좋은 바느질 - 파트 1 (Sew it Good - Part 1),획득 및 전달,"레이드에서 눈구멍이 있는 스키 마스크, 필그림 여행자 가방 각 1개 획득 및 건네주기","+12,300 EXP, 래그맨 Rep +0.02, 25,000 루블, LBT-6094A Slick 캐리어 1개, Walker's XCEL 헤드셋 1개",예
전쟁의 피 - 파트 2 (The Blood of War - Part 2),획득 및 전달,레이드에서 연료 첨가제 4개 획득 및 건네주기,"+14,600 EXP, 래그맨 Rep +0.03, 20,000 루블, HighCom Striker ACHHC IIIA 헬멧 1개, NPP KlASS ""Korund-VM"" 방탄복 1개",예
