임무(Quests),종류,목표,보상,선행 퀘스트
소개 (Introduction),종합,"삼림(Woods)에서 예거의 캠프 찾기, 암호 메시지 획득 및 건네주기","+4,500 EXP, 메카닉 Rep +0.03, 30,000 루블, 예거(Jaeger) 이용 가능",예
건스미스 - 파트 1 (Gunsmith - Part 1),개조,MP-133을 요구 사항에 맞게 개조하기,"+800 EXP, 메카닉 Rep +0.01, 10,000 루블, 너트/볼트 각 1개, 12/70 슬러그 20발, AR-15 레일 가스블록 (잠금해제 - 레벨1)",예
건스미스 - 파트 2 (Gunsmith - Part 2),개조,AKS-74U를 요구 사항에 맞게 개조하기,"+2,000 EXP, 메카닉 Rep +0.01, 15,000 루블, 축전기/전선/전구 각 2개, AK 100 총열덮개 (프라퍼 레벨1 잠금해제)",예
건스미스 - 파트 3 (Gunsmith - Part 3),개조,MP5를 요구 사항에 맞게 개조하기,"+2,800 EXP, 메카닉 Rep +0.01, 250 달러, SwampFox Trihawk 2개, Magpul RVG 2개, Glock 17 Tac 3 (교환 잠금해제 - 레벨1)",예
건스미스 - 파트 4 (Gunsmith - Part 4),개조,OP-SKS를 요구 사항에 맞게 개조하기,"+3,600 EXP, 메카닉 Rep +0.01, 25,000 루블, 화약 ""Kite"" 2개, 자동차 배터리 1개, 전동 모터 1개, PP-19-01 Zenit (교환 잠금해제 - 레벨1)",예
건스미스 - 파트 5 (Gunsmith - Part 5),개조,Remington Model 870을 요구 사항에 맞게 개조하기,"+4,100 EXP, 메카닉 Rep +0.01, 300 달러, 무기 부품 3개, 탄약 보관함 (교환 잠금해제 - 레벨1)",예
건스미스 - 파트 6 (Gunsmith - Part 6),개조,AKM을 요구 사항에 맞게 개조하기,"+5,800 EXP, 메카닉 Rep +0.01, 50,000 루블, 나사 봉지/계전기 각 2개, 7.62x39mm BP 60발, AK GP-25 액세서리 (프라퍼 레벨2 잠금해제)",예
건스미스 - 파트 7 (Gunsmith - Part 7),개조,M4A1을 요구 사항에 맞게 개조하기,"+6,300 EXP, 메카닉 Rep +0.01, 500 달러, 엘리트 플라이어 1개, 전동 드릴 1개, AR-15 Daniel Defense 가스블록 (잠금해제 - 레벨2)",예
건스미스 - 파트 8 (Gunsmith - Part 8),개조,AKS-74N을 요구 사항에 맞게 개조하기,"+8,600 EXP, 메카닉 Rep +0.02, 75,000 루블, CAA XRSU47SU 총열덮개 2개, JMac RRD-4C 제퇴기 2개, 5.45x39mm BS 60발",예
건스미스 - 파트 9 (Gunsmith - Part 9),개조,P226R을 요구 사항에 맞게 개조하기,"+9,800 EXP, 메카닉 Rep +0.02, 300 유로, 화약 ""Hawk"" 2개, M4A1 SOPMOD I (잠금해제 - 레벨3), 5.7x28mm R37.F (잠금해제 - 레벨4)",예
건스미스 - 파트 10 (Gunsmith - Part 10),개조,AK-105을 요구 사항에 맞게 개조하기,"+10,400 EXP, 메카닉 Rep +0.02, 전선 5개, 금속 예비 부품 2개, 탄약 보관함 (잠금해제 - 레벨2)",예
건스미스 - 파트 11 (Gunsmith - Part 11),개조,KRISS Vector 9x19을 요구 사항에 맞게 개조하기,"+11,600 EXP, 메카닉 Rep +0.02, 500 달러, SureFire SOCOM556-MINI 소음기 1개, M4A1 SAI (교환 잠금해제 - 레벨2)",예
건스미스 - 파트 12 (Gunsmith - Part 12),개조,SIG MPX을 요구 사항에 맞게 개조하기,"+12,300 EXP, 메카닉 Rep +0.02, 500 달러, VP-09 Interceptor 제퇴기 1개, FN P90 Attenuator 소음기 1개, SureFire MAG5-100 탄창 1개",예
건스미스 - 파트 13 (Gunsmith - Part 13),개조,R11 RSASS을 요구 사항에 맞게 개조하기,"+13,600 EXP, 메카닉 Rep +0.02, 500 달러, 주름진 호스 2개, 못 상자 2개, KAC PRS/QDC 소음기 (피스키퍼 레벨3 잠금해제)",예
건스미스 - 파트 14 (Gunsmith - Part 14),개조,HK 416A5을 요구 사항에 맞게 개조하기,"+14,900 EXP, 메카닉 Rep +0.02, 500 달러, Torrey Pines T12W 1개, 화약 ""Eagle"" 3개, Magpul PRS GEN3 개머리판 (피스키퍼 레벨3 잠금해제)",예
