임무(Quests),종류,목표,보상,선행 퀘스트
공급자 (Supplier),획득 및 전달,"레이드에서 발견한 Module-3M 방탄복 건네주기, 레이드에서 발견한 TOZ-106 산탄총 건네주기","+3,300 EXP, 스키어 Rep +0.05, 60,000 루블, Saiga-9 카빈 1정, Saiga-9 (잠금해제 - 레벨1)",예
약탈자 (The Extortionist),획득 및 전달,"세관(Customs)에서 보안 케이스 0048 획득하기, 회수한 물건 건네주기","+3,200 EXP, 스키어 Rep +0.04, 500 달러, VPO-209 카빈 1정, AK 7.62x39 탄창 3개, .366 TKM EKO 120발, Zhuk-3 방탄복 1개, Remington M870 (잠금해제 - 레벨1)",예
소동 (Stirrup),사살,권총을 사용해서 PMC 3명 사살하기,"+5,300 EXP, 스키어 Rep +0.05, 프라퍼 Rep -0.05, 테라피스트 Rep -0.02, 70,000 루블, Tri-Zip 배낭 1개, Chiappa Rhino 50DS (잠금해제 - 레벨2)",예
USB에는 무엇이 들어 있을까? (What’s on the Flash Drive?),획득 및 전달,레이드에서 USB 보안 플래시 드라이브 2개 획득 및 건네주기,"+4,500 EXP, 스키어 Rep +0.04, 30,000 루블, OP-SKS 카빈 1정, SKS ProMag 탄창 2개, SKS Hexagon 소음기 1개",예
황금빛 스웩 (Golden Swag),종합,"세관(Customs)에서 황금 지뽀 라이터 획득하기, 트레일러 주차장 입구 컨테이너에 라이터 두고 오기","+4,500 EXP, 스키어 Rep +0.04, 17,000 루블, STM-9 카빈 1정, Glock ""Big Stick"" 탄창 2개, 9x19mm 녹색 예광탄 120발, VOMZ Pilad P1x42 (잠금해제 - 레벨2)",예
화학 - 파트 1 (Chemical - Part 1),획득 및 전달,"세관(Customs)에서 보안 부장의 과거 시절에 대한 정보 찾기, 정보 건네주기, 수사에 도움 될만한 물건 찾기, 물건 건네주기","+4,800 EXP, 스키어 Rep +0.04, 15,000 루블, MSA ACH TC-2002 헬멧 1개",예
화학 - 파트 2 (Chemical - Part 2),획득 및 전달,"세관(Customs)에서 조사에 도움 될만한 증거 찾기 및 건네주기, 세관(Customs)에서 정보 찾기 및 건네주기","+4,800 EXP, 스키어 Rep +0.04, 15,000 루블, F-1 수류탄 3개, TP-200 TNT 블록 2개, 10발 SOK-12 탄창 (예거 Rep 레벨2 잠금해제)",예
화학 - 파트 3 (Chemical - Part 3),획득 및 전달,공장(Factory)에서 화학물질이 든 주사기 획득 및 건네주기,"+5,400 EXP, 스키어 Rep +0.04, 예거 Rep -0.01, 22,000 루블, PSO-1M2-1 조준경 1개, ""Zarya"" 섬광 수류탄 4개",예
화학 - 파트 4 (Chemical - Part 4),획득 및 전달,"세관(Customs)에서 화학물질 수송 차량 찾기, 차량에 MS2000 마커 설치하기, 살아서 탈출하기","+6,500 EXP, 스키어 Rep +0.04, 35,000 루블, 수류탄 보관함 1개, ZSh-1-2M 헬멧 (래그맨 Rep 레벨3 잠금해제)",아니요
돈으로 이어진 관계 (Loyalty Buyout),평판,"1,000,000 루블 건네주기",스키어 Rep +0.25,아니요
비타민 - 파트 1 (Vitamins - Part 1),획득 및 전달,해안선/인터체인지에서 화약 약품 보관함 3개 획득 및 건네주기,"+13,000 EXP, 스키어 Rep +0.05, 예거 Rep -0.01, 40,000 루블, Holosun HS401G5 1개, Trijicon SRS-02 1개",예
비타민 - 파트 2 (Vitamins - Part 2),획득 및 전달,"레이드에서 2M 방독면 4개 획득 및 건네주기, 의료 채혈세트 3개 획득 및 건네주기","+15,800 EXP, 스키어 Rep +0.05, 40,000 루블, Morphine 주사기 4개, Golden Star 연고 1개, KRISS Vector Gen.2 9x19 (잠금해제 - 레벨3)",예
서쪽에서 온 친구 - 파트 1 (Friend from the West - Part 1),사살,"USEC PMC 7명 사살하기, USEC PMC 인식표 7개 획득 및 넘겨주기","+10,000 EXP, 스키어 Rep +0.06, 700 달러, ADAR 2-15 카빈 2정, 5.56x45mm M855A1 60발, Roler 시계 1개",예
서쪽에서 온 친구 - 파트 2 (Friend from the West - Part 2),상인,"6,000 달러 건네주기","+6,300 EXP, 스키어 Rep +0.05, KRISS Vector Gen.2 .45 ACP (잠금해제 - 레벨3)",예
