임무(Quests),종류,목표,보상,선행 퀘스트
Acquaintance,종합,"레이드에서 Iskra 전투식량, Emelya rye croutons, Large Can of beef stew 각 1개 획득 및 건네주기","+3,900 EXP, 예거 Rep +0.01, 50,000 루블, SurvL Survivor Lighter",예
The Survivalist Path - Unprotected but Dangerous,종합,삼림(Woods)에서 방탄복 없이 스캐브 5명 사살,"+5,600 EXP, 예거 Rep +0.02, 35,000 루블, AKMSN 소총, 7.62x39mm PS gzh 200발",예
The Survivalist Path - Thrifty,종합,"삼림(Woods)의 ZB-016, ZB-014 벙커에 Iskra 전투식량, 물병 각 1개씩 숨기기","+4,700 EXP, 예거 Rep +0.01, 22,000 루블, 위상 제어 계전기, 금속 연료통, Iskra 전투식량 (잠금해제 - 레벨2)",예
The Survivalist Path - Zhivchik,종합,공장(Factory) 외 맵에서 완전 탈수 상태로 5분간 생존 후 탈출,"+5,700 EXP, 예거 Rep +0.02, 30,000 루블, Aquamari 물병, 정수 필터",예
The Survivalist Path - Wounded Beast,종합,고통 효과를 겪으면서 스캐브 3명 사살,"+5,800 EXP, 스트레스 저항 +1 레벨, 예거 Rep +0.02, 65,000 루블",예
The Survivalist Path - Tough Guy,종합,삼림(Woods)에서 단일 레이드에 약품 사용 없이 스캐브 3명 사살,"+7,000 EXP, 인식 +1 레벨, 예거 Rep +0.02, 40,000 루블, CMS 키트, 약 더미",예
Courtesy Visit,종합,"해안선(Shoreline) 버려진 마을의 회장, 어부, 성직자 집 찾기 후 '생존' 상태로 탈출","+11,800 EXP, 예거 Rep +0.03, 35,000 루블, Emelya rye croutons, 우유 팩",예
Nostalgia,종합,"헬스 리조트에서 예거의 방 찾기, 예거의 사진 앨범 획득 및 건네주기","+16,800 EXP, 예거 Rep +0.02, 30,000 루블, 서류 가방, HEP 역 창고 열쇠",예
The Survivalist Path - Cold Blooded,종합,떨림 효과를 겪으면서 PMC 2명 헤드샷으로 사살,"+5,900 EXP, 스트레스 저항 +1 레벨, 예거 Rep +0.02, 75,000 루블",예
The Survivalist Path - Junkie,사살,각성제 효과를 받으면서 삼림(Woods)에서 스캐브 15명 사살,"+5,900 EXP, 대사 +2 레벨, 예거 Rep +0.02, 30,000 루블, 12/70 RIP 30발, 5.56x45mm Warmageddon 80발, 5.45x39mm BT 팩",예
The Survivalist Path - Eagle-Owl,종합,공장(Factory) 외 맵에서 야시경이나 열화상 조준경 없이 21:00-04:00 사이에 스캐브 6명 사살,"+5,900 EXP, 인식 +0.5 레벨, 예거 Rep +0.02, 40,000 루블, Armasight Vulcan MG 야시경 조준경",예
The Survivalist Path - Combat Medic,종합,생명력 스킬 레벨 5 달성하기,"+5,900 EXP, 외과술 +2 레벨, 예거 Rep +0.02, 50,000 루블",예
Ambulance,종합,"레이드에서 휴대용 제세동기 1개, CMS 키트 2개 획득 및 건네주기","+14,800 EXP, 생명력 +1 레벨, 예거 Rep +0.02, 35,000 루블, Grizzly 키트, 골든스타 연고, Surv12 키트 (잠금해제 - 레벨3)",예
The Huntsman Path - Secured Perimeter,종합,공장(Factory) 사무실 구역(모든 층)에서 PMC 6명 사살,"+9,800 EXP, 예거 Rep +0.02, 37,000 루블, 펜치 엘리트, 공구 세트, 니퍼, 주름진 호스",예
Reserve,종합,리저브(Reserve)에서 식량 저장고 위치 찾기 후 생존 탈출,"+11,800 EXP, 예거 Rep +0.02, 16,000 루블, 못 상자, 나사 팩, 실리콘 튜브, 부서진 LCD",예
The Huntsman Path - Forest Cleaning,종합,타르코프 전 지역에서 스캐브 30명 사살,"+5,900 EXP, 예거 Rep +0.02, 55,000 루블, TOZ KS-23M 산탄총, 12/70 flechette (잠금해제 - 레벨3)",예
The Huntsman Path - Controller,종합,기절 효과를 받고 있는 PMC 2명 사살,"+7,200 EXP, 예거 Rep +0.02, 50,000 루블, NcSTAR ADO P4 조준경",예
The Huntsman Path - Evil Watchman,종합,세관(Customs) 기숙사 구역에서 PMC 5명 사살,"+10,000 EXP, 예거 Rep +0.02, 75,000 루블, 정보 파일, USB 보안 플래시 드라이브",예
Fishing Place,종합,레이드에서 TerraGroup Labs 액세스 키카드 2개 획득 및 건네주기,"+18,000 EXP, 예거 Rep +0.02, 40,000 루블, Remington Model 700 소총, FORT Redut-M 방탄복",예
