임무(Quests),종류,목표,보상,선행 퀘스트
히포크라테스 선서 (Hippocratic Oath),종합,500 달러(Dollar) 건네주기,"종합 500 달러 건네주기, 테라피스트 우호도 +0.2",아니요
호기심으로부터 (Out of Curiosity),획득 및 전달,"세관(Customs)에서 화학물질을 싣고 있는 차량 찾기, 차량에 MS2000 마커 설치하기, 살아서 탈출하기","+7,700 EXP, 테라피스트 우호도 +0.04, 170,000 루블, 주사기 보관함 1개",아니요
행복배달부 팻아저씨 - 파트 2 (Postman Pat - Part 2),획득 및 전달,테라피스트에게 배달부에게서 찾은 편지 건네주기,"+3,500 EXP, 테라피스트 우호도 +0.02, 5,000 루블, Salewa 응급 치료 키트 (잠금해제 - 레벨2)",예
해변으로 떠난 휴가 (Seaside Vacation),획득 및 전달,"등대(Lighthouse)에서 정보원의 서류가방 찾기, 발견한 물건 건네주기","+8,000 EXP, 테라피스트 우호도 +0.02, 50,000 루블, Aluminum splint 알루미늄 부목 (잠금해제 - 레벨3)",예
하루에 사과 한개가 의사를 멀리하게 해준다 (An Apple a Day Keeps the Doctor Away),종합,"400,000 루블(Rouble) 건네주기","종합 400,000 루블 건네주기, 체력 +2 레벨",예
청소부 (Decontamination Service),사살,인터체인지(Interchange)에서 특정 장비를 착용한 상태로 스캐브(Scav)를 근거리(60미터 이내)에서 40명 사살하기,"+30,500 EXP, 테라피스트 우호도 +0.05, 예거 우호도 +0.01, 300,000 루블, Morphine 모르핀 주사기 3개, IFAK 3개, GP-7 방독면 3개",예
진통제 (Painkiller),획득 및 전달,"레이드에서 모르핀 주사기 4개 획득하기, 주사기 4개 건네주기","+4,500 EXP, 테라피스트 우호도 +0.03, 17,000 루블, Disposable syringe 5개, Silicone tube 1개, Analgin painkillers 2개, Pile of meds 약더미 2개",예
재고 부족 (Shortage),획득 및 전달,"레이드에서 Salewa 응급 치료 키트 3개 획득하기, Salewa 응급 치료 키트 3개 건네주기","+2,000 EXP, 테라피스트 우호도 +0.03, 15,000 루블, Car 차량용 응급 치료 키트 2개, Analgin painkillers 4개, Immobilizing Splint 고정용 부목 4개",예
자동차 수리 (Car Repair),획득 및 전달,"레이드에서 자동차 배터리 4개 획득, 점화 플러그 8개 획득, 자동차 배터리 4개 건네주기, 점화 플러그 8개 건네주기","+6,900 EXP, 테라피스트 우호도 +0.04, 1,500 달러, Grizzly 응급 치료 키트 1개, eTG-change 주사기 1개, Adrenaline 주사기 1개",예
인구조사 (Population Census),획득 및 전달,"거주자 정보가 포함된 일지 획득하기, 일지 건네주기","+6,900 EXP, 테라피스트 우호도 +0.02, 35,000 루블, Salewa 응급 치료 키트 2개, Medical tools 의료 도구 2개",아니요
의료 개인 정보 보호 - 파트 5 (Health Care Privacy - Part 5),Multi,"야간 공장(Factory)에서 물건을 놓아둘 장소 찾기, Gunpowder ""Kite"" 화약 3개를 구해서 지정된 장소에 놔두기","+7,300 EXP, 테라피스트 우호도 +0.04, 35,000 루블, 의약품 보관함 1개",예
의료 개인 정보 보호 - 파트 4 (Health Care Privacy - Part 4),스킬,건강 스킬 4레벨 도달하기,"+6,000 EXP, 테라피스트 우호도 +0.04, 29,000 루블, Grizzly 응급 치료 키트 2개, NaCl 생리식염수 2개",아니요
의료 개인 정보 보호 - 파트 3 (Health Care Privacy - Part 3),탐색,"헬스 리조트 의료 서비스 책임자가 소유했던 밴 차량 찾기, 혈액 샘플 획득, 혈액 샘플 건네주기, 살아서 탈출하기","+5,900 EXP, 테라피스트 우호도 +0.04, 26,000 루블, Morphine 주사기 2개, Adrenaline 주사기 2개, Morphine 주사기 (잠금해제 - 레벨4)",예
의료 개인 정보 보호 - 파트 2 (Health Care Privacy - Part 2),탐색,"헬스 리조트의 방을 조사해서 테라그룹의 연구에 대한 문서 입수하기, 입수한 정보 건네주기, 살아서 탈출하기","+5,900 EXP, 테라피스트 우호도 +0.04, 24,000 루블, Salewa 응급 치료 키트 4개",예
의료 개인 정보 보호 - 파트 1 (Health Care Privacy - Part 1),탐색,"해안선(Shoreline)에서 첫 번째, 두 번째, 세 번째 구급차를 찾아 MS2000 마커 설치하기","+4,800 EXP, 테라피스트 우호도 +0.03, 22,000 루블, IFAK 개인용 응급 치료 키트 2개, IFAK (잠금해제 - 레벨3)",예
위험한 길 (Dangerous Road),탐험,타르코프 시내(Streets of Tarkov)에서 Primorsky Ave Taxi V-Ex를 통해 탈출하기,"+7,800 EXP, 테라피스트 우호도 +0.01, 45,000 루블, Aluminum splint 2개, CALOK-B 2개",아니요
위생 기준 - 파트 2 (Sanitary Standards - Part 2),종합,"레이드에서 가스 분석기 2개 획득, 가스 분석기 2개 건네주기","+4,500 EXP, 테라피스트 우호도 +0.03, 30,000 루블, Propital 프로피탈 주사기 1개",예
