임무(Quests),종류,목표,보상,선행 퀘스트
낚시 장비 (Fishing Gear),종합,"해안선 방파제 옆 숨겨둔 보트 찾기, SV-98 저격 소총 숨겨두기, 멀티툴 숨겨두기, 살아서 탈출하기","+4,800 EXP, 피스키퍼 Rep +0.02, 700 달러, UNTAR 헬멧 1개, SIG ROMEO4 (잠금해제 - 레벨2), M1A 소총 (잠금해제 - 레벨2)",예
Tigr 사파리 (Tigr Safari),탐색,"세관(Customs)에서 Tigr 차량 3대에 MS2000 마커 설치하기, 살아서 탈출하기","+5,900 EXP, 피스키퍼 Rep +0.03, 900 달러, Thunderbolt 체스트 리그 1개, M67 수류탄 2개, B&T MP9 (잠금해제 - 레벨1)",예
고철 (Scrap Metal),탐색,"해안선(Shoreline)에서 T-90 전차 3대에 MS2000 마커 설치하기, 살아서 탈출하기","+5,900 EXP, 피스키퍼 Rep +0.03, 900 달러, HK MP5 (해군형 3점사) 1정, 9x19mm Pst gzh 120발, HK MP5 SD (잠금해제 - 레벨2)",예
매의 눈 (Eagle Eye),획득 및 전달,"해안선에서 UAV 추락 지점 2곳 찾기, 2개의 SAS 디스크 회수 및 건네주기","+6,600 EXP, 피스키퍼 Rep +0.03, 900 달러, ELCAN SpecterDR 1개, Leupold Mark 4 HAMR 1개, SIG MPX Silenced (잠금해제 - 레벨2)",예
인도주의적 보급품 (Humanitarian Supplies),탐색/사살,"해안선 트럭 2대에 MS2000 마커 설치하기, MRE 전투 식량 5개 구해서 건네주기, UN 군복 착용 후 해안선에서 스캐브 10명 사살하기","+11,500 EXP, 피스키퍼 Rep +0.03, 800 달러, 무기 부품 2개, AK-74 Hexagon 소음기 (스키어 Rep 레벨2 잠금해제)",예
광신도 - 파트 1 (The Cult - Part 1),탐험,"해안선(Shoreline)에서 실종된 정보원 찾기, 살아서 탈출하기","+6,200 EXP, 피스키퍼 Rep +0.02, 700 달러, Golden neck chain 3개, 5.56x45mm M856A1 (잠금해제 - 레벨2)",예
광신도 - 파트 2 (The Cult - Part 2),탐험,삼림/세관/해안선에 있는 종교의식 현장 4곳에 MS2000 마커 설치하기,"+7,500 EXP, 피스키퍼 Rep +0.03, 850 달러, KAC SR-25 지정사수 소총 1정",예
스파 관광 - 파트 1 (Spa Tour - Part 1),사살,해안선(Shoreline)에서 12 게이지 산탄총을 사용하여 스캐브를 헤드샷으로 7명 사살하기,"+7,400 EXP, 피스키퍼 Rep +0.03, 950 달러, SIG MPX Silenced 1정, MPX 탄창 3개, 9x19mm RIP 90발, Health Resort west wing 306 key 1개",예
스파 관광 - 파트 2 (Spa Tour - Part 2),탐험,"해안선 헬리콥터/안전한 길목에 MS2000 마커 설치하기, 살아서 탈출하기","+6,300 EXP, 피스키퍼 Rep +0.02, 900 달러, 0.2BTC 비트코인 1개, M67 수류탄 (잠금해제 - 레벨3)",예
스파 관광 - 파트 3 (Spa Tour - Part 3),획득 및 전달,"레이드에서 WD-40, 창문 세정제 2개, 주름진 호스 2개, 옥스 표백제 2개 획득 및 건네주기","+7,600 EXP, 피스키퍼 Rep +0.03, 800 달러, KRISS Vector Gen.2 9x19 1정, M67 수류탄 5개, Glock ""Big Stick"" 탄창 4개, Toolset 2개",예
